Status,Rewrite_in_context,Original,Rewrite,Chris: info correct?,Chris: info correct comment
done,"Hedrick Smith [HEAD] Early life and education [SEP] Smith was born on July 9, 1933, in Kilmacolm, Scotland. He was educated at The Choate School (now Choate Rosemary Hall) in Wallingford, Connecticut and at Williams College, where he earned a B.A. in American history and literature in 1955. From 1955-56, Smith did graduate work in PPE (Politics, Philosophy, and Economics) as a Fulbright Scholar at Oxford University. He Hedrick Smith served in the U . S . United States Air Force from 1956 to 1959 . In 1969, he won a Nieman Fellowship to study at Harvard University, concentrating in Russian studies.",He served in the U.S. Air Force from 1956 to 1959.,Hedrick Smith served in the United States Air Force from 1956 to 1959.,t,"Full name only mentioned in title, but personally I would say this is rather certain because 'he' certainly refers to 'smith' (the last name)."
imp,"Military history of Brazil [HEAD] Modern Brazil ; World War II [SEP] The Brazilian pilots initially flew from 31 October 1944 as individual elements of flights of the 350th FG US squadrons, at first in affiliation flights and progressively taking part in more dangerous missions. Less than two weeks later, on 11 November, the Group started its own operations, flying from its base at Tarquinia, using its call-sign Jambock. The Group was divided into four flights, Vermelha (Red), Amarela (Yellow), Azul (Blue) and Verde (Green). Each flight had a complement of roughly 12 pilots, these having been flying together since their training spell in Panama. A pilot customarily wore an echarpe in the colours of his flight. The CO of the Group and some officers were not attached to any specific flight. Initially the P-47s were finished in standard US fighter colours, olive-drab (top surfaces) and neutral grey (undersurfaces), except the aircraft of the commanding officer, which was finished in natural metal and olive-drab anti-glare panels. Contrary to common belief, the first aircraft flown by the group's operations officer (coded ""2"") was also painted in the OD/NG color-scheme, being lost in action when Lt. Danilo Moura was shot down, being replaced by an overall natural metal finish (NMF) aircraft, which was later also shot down when flown by Lt. Luis Lopes Dornelles and replaced by a third NMF machine. The badge of the Group was painted just after the engine cowling, and the aircraft code (flight letter-aircraft number) was in white letters over the cowling. National insignia was in four positions, this being the US star-and-bar, with the white star replaced by the Brazilian star. Later, replacement aircraft were in natural metal, with olive-drab anti-glare panels, the codes being in black. The Brazilian pilots had been trained in the US for fighter operations — but the Luftwaffe had by then nearly no airplanes in Italy. Thus the 1ºGAVCA started its fighting career as a fighter-bomber unit, its missions being armed reconnaissance and interdiction, in support of the US 5th Army, to which the Brazilian Expeditionary Force was attached. On 16 April 1945, the U.S. Fifth Army started its offensive along the Po Valley. On this date, the Group was reduced to 25 pilots, some having been killed and others, having been shot down, becoming POWs. Also, some had been relieved from operations on medical grounds due to combat fatigue. The Yellow flight was thus disbanded, its remaining pilots being distributed among the other flights. Each pilot flew on average two missions a day. On 19 April, the German frontline was broken, this having been first signalled to Command HQ by the Group. The Allied forces had to set up bridgehead across the River Pó, before the German forces crossed it. This was to be done on the 23 April, after a softening up of the German defences by the Air Force on the previous day. On 22 April 1945, the day dawned cold, overcast and foggy. The three flights took off at five-minute intervals starting at 8:30 AM, to attack targets in the San Benedetto region, destroying bridges, barges and motorized vehicles. At 10:00 AM, a flight took off for an armed reconnaissance mission south of Mantua — more than 80 trucks and vehicles were destroyed. Other aircraft attacked fortified German positions, tanks and barges. By the end of the day, the Group had flown 44 individual missions, having destroyed more than a hundred vehicles as well as barges, etc. Two P - 47s were damaged and a third was shot down , its pilot , 2º Ten . - Av . Armando de S. Coelho, being taken prisoner. This was the day when more sorties than ever were made by the Group, and is commemorated each year as the Brazilian Fighter Arm Day.","Two P-47s were damaged and a third was shot down, its pilot, 2º Ten.-Av.","Two P-47s were damaged and a third was shot down, its pilot, 2º Ten.-Av.",,
un,"Cinema of France [HEAD] [SEP] French cinema comprises the art of film and creative movies made within the nation of France or by French filmmakers abroad. Several important cinematic movements, including the Nouvelle Vague, began in the country. It is noted for having a particularly strong film industry, due in part to protections afforded by the French government. Apart from its strong and innovative film tradition, France has also been a gathering spot for artists from across Europe and the world. For this reason, French cinema is sometimes intertwined with the cinema of foreign nations. Directors from nations such as Poland (Roman Polanski, Krzysztof Kieślowski, and Andrzej Żuławski), Argentina (Gaspar Noé and Edgardo Cozarinsky), Russia (Alexandre Alexeieff, Anatole Litvak), Austria (Michael Haneke), and Georgia (Géla Babluani, Otar Iosseliani) are prominent in the ranks of French cinema. Conversely, French directors have had prolific and influential careers in other countries, such as Luc Besson, Jacques Tourneur, or Francis Veber in the United States. Another element supporting this fact is that Paris has the highest density of cinemas in the world, measured by the number of movie theaters per inhabitant, and that in most ""downtown Paris"" movie theaters, foreign movies which would be secluded to ""art houses"" cinemas in other places are shown alongside ""mainstream"" works. Philippe Binant realized, on 2 February 2000, the first digital cinema projection in Europe, with the DLP CINEMA technology developed by Texas Instruments, in Paris. Paris also boasts the Cité du cinéma, a major studio north of the city, and Disney Studio, a theme park devoted to the cinema and the third theme park near the city behind Disneyland and Parc Asterix. France is the most successful film industry in Europe in terms of number of films produced per annum , with a record - breaking 300 feature - length films produced in 2015 . France is also one of the few countries where non-American productions have the biggest share: American films only represented 44.9% of total admissions in 2014. This is largely due to the commercial strength of domestic productions, which accounted for 44,5% of admissions in 2014 (35.5% in 2015; 35.3% in 2016). Also, the French film industry is closer to being entirely self-sufficient than any other country in Europe, recovering around 80–90% of costs from revenues generated in the domestic market alone. In 2013, France was the 2nd largest exporter of films in the world after the United States. A study in April 2014 showed the positive image which French cinema maintains around the world, being the most appreciated cinema after American cinema. A favorite theme has been the French Revolution, with hundreds of titles.","France is the most successful film industry in Europe in terms of number of films produced per annum, with a record-breaking 300 feature-length films produced in 2015.","France is the most successful film industry in Europe in terms of number of films produced per annum, with a record-breaking 300 feature-length films produced in 2015.",,
un,"1 for 7 Billion campaign [HEAD] Previous Selection Process [SEP] There is an informal regional rotation scheme for the selection of the UN Secretary - General , despite the absence of any provision in the Charter of the United Nations that specifies such a scheme . It is speculated that Eastern Europe is a strong contender in the 2016 appointment as it is the only region from which a Secretary-General has never before been selected. Article 97 of the United Nations Charter guides the selection procedure stating that “the Secretary-General is appointed by the General Assembly upon the recommendation of the Security Council”. In practice, one candidate is chosen in private by the Security Council without discussing with member states or publishing a list of candidates. It is UN Security Council practice that the five permanent members of the Security Council – the United States, the United Kingdom, France, Russia and China – have an effective veto over the selection during this stage of the process, though this is not explicitly mentioned in the United Nations Charter. The final candidate is then submitted to the General Assembly for ratification. No candidate has ever been rejected by the General Assembly. The appointment of the first UN Secretary-General, Trygve Lie, in 1945 saw a different selection process to that of his successors. Following his recommendation by the Security Council, the General Assembly held a secret ballot which saw Lie elected with 46 votes to three. The General Assembly also took an atypically prominent role in the re-appointment process deciding to extend Lie’s term by majority vote in light of the Security Council being unable to agree on a recommendation for the next Secretary-General.","There is an informal regional rotation scheme for the selection of the UN Secretary-General, despite the absence of any provision in the Charter of the United Nations that specifies such a scheme.","There is an informal regional rotation scheme for the selection of the UN Secretary-General, despite the absence of any provision in the Charter of the United Nations that specifies such a scheme.",,
un,"Ancient Indian architecture [HEAD] Classical period (320 BCE – 550 CE) ; Rock-cut caves [SEP] Around the same time rock-cut architecture began to develop, starting with the already highly sophisticated and state-sponsored Barabar caves in Bihar, personally dedicated by Ashoka c. 250 BCE. These artificial caves exhibit an amazing level of technical proficiency, the extremely hard granite rock being cut in geometrical fashion and polished to a mirror-like finish. Probably owing to the 2nd century BCE fall of the Mauryan Empire and the subsequent persecutions of Buddhism under Pushyamitra Sunga, it is thought that many Buddhists relocated to the Deccan under the protection of the Andhra dynasty, thus shifting the cave-building effort to western India: an enormous effort at creating religious caves (usually Buddhist or Jain) continued there until the 2nd century CE, culminating with the Karla Caves or the Pandavleni Caves. These caves generally followed an apsidal plan with a stupa in the back for the chaityas, and a rectangular plan with surrounding cells for the viharas. As well as royal patronage, numerous donors provided the funds for the building of these caves and left donation inscriptions, including laity, members of the clergy, government officials, and even foreigners. The construction of caves would wane after the 2nd century CE, possibly due to the rise of Mahayana Buddhism and the associated intense architectural and artistic production in Gandhara and Amaravati. The building of rock - cut caves would revive briefly in the 5th century CE , with the magnificent achievements of Ajanta and Ellora , before finally subsiding as Hinduism replaced Buddhism in the sub - continent , and stand - alone temples became more prevalent . Rock-cut architecture also developed with the apparition of stepwells in India, dating from 200 to 400 CE. Subsequently, the construction of wells at Dhank (550–625 CE) and stepped ponds at Bhinmal (850–950 CE) took place. Jain cave monastery in Udayagiri and Khandagiri Caves (2nd century BCE). Chitharal Jain Monuments, 1st century BCE Gautamiputra vihara at Pandavleni Caves, built in the 2nd century CE by the Satavahana dynasty The Ajanta Caves are 30 rock-cut Buddhist cave monument built under the Vakatakas, c. 5th century CE.","The building of rock-cut caves would revive briefly in the 5th century CE, with the magnificent achievements of Ajanta and Ellora, before finally subsiding as Hinduism replaced Buddhism in the sub-continent, and stand-alone temples became more prevalent.","The building of rock-cut caves would revive briefly in the 5th century CE, with the magnificent achievements of Ajanta and Ellora, before finally subsiding as Hinduism replaced Buddhism in the sub-continent, and stand-alone temples became more prevalent.",,
done,"Stephen Hymer [HEAD] Contributions [SEP] Stephen Hymer is considered to be the father of International Business due to his contributions related to Foreign Direct Investment as well as his studies and academic production on the field of theories of multinational enterprises. Hymer's main contributions, which predated most of today's existing theory on the subjects of multinational enterprises and Foreign Direct Investment (FDI), are collected in eleven documents, including his 1960 doctoral thesis. Before his theory on FDI, all investments were considered to be mere capital movements across borders. These movements of capital were thought to be determined mainly by the differences in interest rates between the countries. Hymer established that there was a distinction between financial investments and these kinds of investments, which he named Foreign Direct Investment: the latter gives the firm control over the business activities in other countries whereas portfolio investment does not. The theory presented by Stephen Hymer is considered a departure from neo-classical perspective and the consideration of a perfect market structure. Hymer's main conclusion is that foreign direct investment can only succeed as long as there are market imperfections that can create advantages and conflicts: companies could reduce their competition by implementing foreign direct investment. In this way, companies can eliminate the arising conflicts in the market and benefit from their specific advantages. Hymer considered multinational firms to be better institutions than actual international markets in the process of stimulating business, and for information transmitting as well as price fixing. This was all elaborated by Dunning and Pitelis in the academic paper: ""Stephen Hymer's Contribution to International Business Scholarship: An assessment and extension"". In the analysis of the nature and causes of foreign investment , Stephen Herbert Hymer made a distinction between direct and portfolio investment . After ascertaining that differences in interest rates cause portfolio investments, but not direct investments, and that the industrial distribution of the latter is not significantly different from one country to another, as could be expected if their cause was solely differences in profitability, Hymer concluded that direct investments are capital movements associated to international operations of firms. Their goal is to keep control of production. This control allows either to suppress competition, or appropriate rents derived from advantages like skilled labour, cheap raw materials, access to capital markets or technology. Later, Hymer used Marxian language and concepts more explicitly. In a series of articles published in the 1970s, he considered the relationship between nation-states and multinational firms, detailing their role in the creation of an international division of labor. Hymer argued that this hierarchal division of labor was a macrocosm of the internal division of labor reproduced within the multinational corporation. Hymer did not believe that these firms had become more powerful than nation-states; instead, multinationals were firmly rooted in the major financial centers of the world, and they tended to reinforce existing geographic and spatial boundaries and dependencies. Papers and articles on this and various other topics articles were compiled by Hymer's graduate students from the New School for Social Research in The Multinational Corporation: A Radical Approach. Papers by Stephen Herbert Hymer, published by Cambridge University Press in 1979. Hymer's theories have strongly influenced other economists, like Cantwell and Dunning, and were elaborated by Hymer's dissertation advisor, Charles P. Kindleberger in American Business Abroad, series of lectures published in 1969. The latter played an important role in the posthumous publication of Hymer's dissertation. Many authors have used Hymer's theories to develop new theoretical approaches in the field of international business. One of these new theories is the OLI paradigm (ownership-location-internalization) also known as the eclectic paradigm, developed by John Dunning (1977), which adopts Hymer's firms' specific advantages.","In the analysis of the nature and causes of foreign investment, Hymer made a distinction between direct and portfolio investment.","In the analysis of the nature and causes of foreign investment, Stephen Herbert Hymer made a distinction between direct and portfolio investment.",n,Hallucinated middle name
un,"Chovvakkaran Moosa [HEAD] Final Years [SEP] In the early 1800s, Moosa's fortune, fleet and mercantile interests continued to grow. He died in 1807, one of Malabar's most wealthy and influential figures. He is interred in a mausoleum in the Odathil Palli mosque, which he built sometime before 1806. The Keyi family continued to enjoy its good fortune. In 1813, Moosa's son and main heir was described as ‘the richest man on the Malabar Coast’. The Moosa family , which is still prominent in Thalassery , runs a nineteenth - century guest house , which , it is claimed , once belonged to their ancestor ' s bitter rival , Murdoch Brown . ","The Moosa family, which is still prominent in Thalassery, runs a nineteenth-century guest house, which, it is claimed, once belonged to their ancestor's bitter rival, Murdoch Brown.","The Moosa family, which is still prominent in Thalassery, runs a nineteenth-century guest house, which, it is claimed, once belonged to their ancestor's bitter rival, Murdoch Brown.",,
done,"Travis Wall [HEAD] Career ; Choreography for So You Think You Can Dance [SEP] Wall earned 2011 and 2013 Emmy nominations for his contemporary choreography in seasons 7 and 9. He won a 2015 Emmy for routines he choreographed for season 11. (See SYTYCD Emmy Awards for details.) Along with Mandy Moore , he Travis Wall jointly won a 2017 Creative Emmy Award . ","Along with Mandy Moore, he jointly won a 2017 Creative Emmy Award.","Along with Mandy Moore, Travis Wall jointly won a 2017 Creative Emmy Award.",t,"Full name only mentioned in title, but personally I would say this is rather certain because 'he' certainly refers to 'wall' (the last name)."
un,"Mauritania [HEAD] Demographics ; Human rights [SEP] The Abdallahi government was widely perceived as corrupt and restricted access to government information. Sexism, racism, female genital mutilation, child labour, human trafficking, and the political marginalization of largely southern-based ethnic groups continued to be problems. Homosexuality is illegal and is a capital offence in Mauritania. Following the 2008 coup , the military government of Mauritania faced severe international sanctions and internal unrest . Amnesty International accused it of practicing coordinated torture against criminal and political detainees. Amnesty has accused the Mauritanian legal system, both before and after the 2008 coup, of functioning with complete disregard for legal procedure, fair trial, or humane imprisonment. The organization has said that the Mauritanian government has practiced institutionalized and continuous use of torture throughout its post-independence history, under all its leaders. Amnesty International in 2008 alleged that torture was common in Mauritania, stating that its usage is ""deeply anchored in the culture of the security forces"", which use it ""as a system of investigation and repression"". Forms of torture employed include cigarette burns, electric shocks and sexual violence, stated Amnesty International. In 2014, the United States Department of State identified torture by Mauritanian law enforcement as one of the ""central human rights problems"" in the country. Juan E. Méndez, an independent expert on human rights from the United Nations, reported in 2016 that legal protections against torture were present but not applied in Mauritania, pointing to an ""almost total absence of investigations into allegations of torture"". According to the US State Department 2010 Human Rights Report, abuses in Mauritania include: ...mistreatment of detainees and prisoners; security force impunity; lengthy pretrial detention; harsh prison conditions; arbitrary arrests; limits on freedom of the press and assembly; corruption; discrimination against women; female genital mutilation (FGM); child marriage; political marginalization of southern-based ethnic groups; racial and ethnic discrimination; slavery and slavery-related practices; and child labor.","Following the 2008 coup, the military government of Mauritania faced severe international sanctions and internal unrest.","Following the 2008 coup, the military government of Mauritania faced severe international sanctions and internal unrest.",,
done,"Boris Arbuzov (chemist) [HEAD] Research [SEP] At the beginning of scientific activity he Boris Arbuzov ( chemist ) studied ( under the guidance of AE Arbuzov ) the method of tapping coniferous trees , the composition of the gum and the products of its processing - turpentine and rosin . The work was of great practical importance, and allowed a new approach to the issue of the technical use of turpentine for which he was awarded the A. Butlerov Prize from the Russian Physico-Chemical Society in 1928. A year later, together with AE Arbuzov, he discovered the reaction of formation of free radicals of the triarylmethyl series which is formed from aryl bromomethane. He conducted research in a series of derivatives of pyrolytic phosphorus, resulted in the preparation of the drug pyrophos and octamethyl pesticide. After 1930, he studied the chemical transformations of terpenes and the mechanism of their oxides transformation.","At the beginning of scientific activity he studied (under the guidance of AE Arbuzov) the method of tapping coniferous trees, the composition of the gum and the products of its processing - turpentine and rosin.","At the beginning of scientific activity Boris Arbuzov (chemist) studied (under the guidance of AE Arbuzov) the method of tapping coniferous trees, the composition of the gum and the products of its processing - turpentine and rosin.",t,replacement from title
